Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
Akash Madhwal,RR,4,4,1,1,4*,-,9,44.44,0,0,0,0
Madhav Tiwari,DC,3,1,1,0,3,3,4,75,0,0,0,0
Mohammed Siraj,GT,3,15,1,1,3*,-,4,75,0,0,0,0
Kumar Kartikeya Singh,RR,3,4,2,0,2,1.5,5,60,0,0,0,0
Simarjeet Singh,SRH,3,4,3,1,3*,1.5,7,42.85,0,0,0,0
Fazalhaq Farooqi,RR,2,5,1,1,2*,-,2,100,0,0,0,0
Trent Boult,MI,2,16,2,1,1*,2,3,66.66,0,0,0,0
Spencer Johnson,KKR,2,4,2,2,1*,-,4,50,0,0,0,0
Arshdeep Singh,PBKS,2,17,2,1,1*,2,6,33.33,0,0,0,0
Varun Chakaravarthy,KKR,1,13,1,1,1*,-,1,100,0,0,0,0
V Satyanarayana Penmetsa,MI,1,2,1,1,1*,-,1,100,0,0,0,0
Karn Sharma,MI,1,6,1,1,1*,-,1,100,0,0,0,0
Khaleel Ahmed,CSK,1,14,2,2,1*,-,2,50,0,0,0,0
Mohit Sharma,DC,1,8,2,1,1*,1,3,33.33,0,0,0,0
Donovan Ferreira,DC,1,1,1,0,1,1,3,33.33,0,0,0,0
Digvesh Singh,LSG,1,13,2,1,1,1,3,33.33,0,0,0,0
Manoj Bhandage,RCB,1,1,1,0,1,1,4,25,0,0,0,0
Virat Kohli,RCB,741,15,15,3,113*,61.75,479,154.69,1,5,62,38
"Ruturaj Gaikwad
CSK",CSK,583,14,14,3,108*,53,413,141.16,1,4,58,18
"Riyan Parag
RR",RR,573,16,14,3,84*,52.09,384,149.21,0,4,40,33
"Travis Head
SRH",SRH,567,15,15,1,102,40.5,296,191.55,1,4,64,32
"Sanju Samson
RR",RR,531,16,15,4,86,48.27,346,153.46,0,5,48,24
"Sai Sudharsan
GT",GT,527,12,12,1,103,47.91,373,141.28,1,2,48,16
"K L Rahul
LSG",LSG,520,14,14,0,82,37.14,382,136.12,0,4,45,19
"Nicholas Pooran
LSG",LSG,499,14,14,6,75,62.38,280,178.21,0,3,35,36
"Sunil Narine
KKR",KKR,488,15,14,0,109,34.86,270,180.74,1,3,50,33
"Abhishek Sharma
SRH",SRH,484,16,16,1,75*,32.27,237,204.21,0,3,36,42
"Heinrich Klaasen
SRH",SRH,479,16,15,3,80*,39.92,280,171.07,0,4,19,38
"Rishabh Pant
DC",DC,446,13,13,2,88*,40.55,287,155.4,0,3,36,25
"Faf Du Plessis
RCB",RCB,438,15,15,0,64,29.2,271,161.62,0,4,47,21
"Phil Salt
KKR",KKR,435,12,12,1,89*,39.55,239,182,0,4,50,24
"Yashasvi Jaiswal
RR",RR,435,16,15,1,104*,31.07,279,155.91,1,1,54,16
"Shubman Gill
GT",GT,426,12,12,1,104,38.73,289,147.4,1,2,37,15
"Rohit Sharma
MI",MI,417,14,14,1,105*,32.08,278,150,1,1,45,23
"Tilak Varma
MI",MI,416,13,13,3,65,41.6,278,149.64,0,3,35,19
"Shivam Dube
CSK",CSK,396,14,14,3,66*,36,244,162.29,0,3,28,28
"Rajat Patidar
RCB",RCB,395,15,13,0,55,30.38,223,177.13,0,5,21,33
"Marcus Stoinis
LSG",LSG,388,14,14,2,124*,32.33,263,147.52,1,2,39,16
"Tristan Stubbs
DC",DC,378,14,13,6,71*,54,198,190.9,0,3,24,26
"Venkatesh Iyer
KKR",KKR,370,15,13,5,70,46.25,233,158.79,0,4,35,19
"Jos Buttler
RR",RR,359,11,11,2,107*,39.89,255,140.78,2,0,36,12
"Shashank Singh
PBKS",PBSK,354,14,14,6,68*,44.25,215,164.65,0,2,28,21
"Shreyas Iyer
KKR",KKR,351,15,14,5,58*,39,239,146.86,0,2,34,14
"Suryakumar Yadav
MI",MI,345,11,11,1,102*,34.5,206,167.47,1,3,36,18
